relevance_score,quality_flag,title,authors,publication_year,doi,url,source_name,publisher,venue,document_type,open_access,matched_keywords,manual_review_required
90.6,core literature,Fast-Growth Polymer: Fullerene Bulk-Heterojunction Thin Films for Efficient Organic Photovoltaics,Daewon Chung; Chandran Balamurugan; Byoungwook Park; Hyeonryul Lee; Ilhyeon Cho; Chaerin Yoon; Soyeon Park; Yong-Ryun Jo; Joonhyeon Jeon; Soonil Hong; Sooncheol Kwon,2024,10.3390/nano14060502,https://doi.org/10.3390/nano14060502,crossref,MDPI AG,Nanomaterials,journal-article,True,bulk heterojunction; bulk heterojunction morphology; polymer films,False
90.6,core literature,The Effect of Thermal Annealing on Optical Properties and Surface Morphology of a Polymer: Fullerene- and Non-Fullerene-Blend Films Used in Organic Solar Cells,Bożena Jarząbek; Muhammad Raheel Khan; Barbara Hajduk; Andrzej Marcinkowski; Paweł Chaber; Adrian Cernescu; Yasin C. Durmaz,2026,10.3390/polym18020280,https://doi.org/10.3390/polym18020280,crossref,MDPI AG,Polymers,journal-article,True,non-fullerene acceptor; non-fullerene acceptor polymer blend; polymer films,False
90.6,core literature,Efficient thick film all-polymer solar cells enabled by incorporating an ester-substituted non-fullerene-based polymer acceptor,Panfeng Gao; Han Shen; Xiaoman Gui; Jianling Ni; Shisong Sun; Meixiu Wan; Lijun Huo,2025,10.1039/d5py00302d,https://doi.org/10.1039/d5py00302d,crossref,Royal Society of Chemistry (RSC),Polymer Chemistry,journal-article,True,non-fullerene acceptor; non-fullerene acceptor polymer blend; polymer films,False
90.6,core literature,The Pseudo-Bilayer Bulk Heterojunction Active Layer of Polymer Solar Cells in Green Solvent with 18.48% Efficiency,Jingyue Cao; Zheng Xu,2025,10.3390/polym17030284,https://doi.org/10.3390/polym17030284,crossref,MDPI AG,Polymers,journal-article,True,2-dimensional polymer systems; bulk heterojunction; bulk heterojunction morphology,False
89.76666666666667,core literature,Preparation of PVDF/PVP blend polymer nanofiber films and application on screen-printed flexible electrodes,Zhilei Li; Jianping Zhou; Yan Xu; Changhua Chen; Tongtong Ran; Shuaishuai Wang,2024,10.1016/j.eurpolymj.2024.112740,https://doi.org/10.1016/j.eurpolymj.2024.112740,crossref,Elsevier BV,European Polymer Journal,journal-article,True,Monte Carlo simulation polymer blend; donor acceptor polymer blend morphology; molecular dynamics organic photovoltaic blend; non-fullerene acceptor; non-fullerene acceptor polymer blend; polymer films,False
89.76666666666667,core literature,The complex legacy of early animated health films in Eastern Europe,Victoria Shmidt; Karl Kaser,2023,10.4324/9781003272267-8,https://doi.org/10.4324/9781003272267-8,crossref,Routledge,A Critical History of Health Films in Central and Eastern Europe and Beyond,book-chapter,True,bulk heterojunction; bulk heterojunction morphology; charge transport morphology relationship; crystallization regulator organic semiconductor; molecular dynamics organic photovoltaic blend; organic photodiode active layer; organic photovoltaic active layer; polymer films; solvent evaporation morphology,False
88.72666666666667,core literature,Largely improved bulk-heterojunction morphology in organic solar cells based on a conjugated terpolymer donor via a ternary strategy,Lechi Qing; Anxing Zhong; Wenxing Chen; Yong Cao; Junwu Chen,2020,10.1016/j.polymer.2019.122050,https://doi.org/10.1016/j.polymer.2019.122050,crossref,Elsevier BV,Polymer,journal-article,True,2-dimensional polymer systems; bulk heterojunction; bulk heterojunction morphology; polymer films,False
88.72666666666667,core literature,Machine learned metaheuristic optimization of the bulk heterojunction morphology in P3HT:PCBM thin films,Joydeep Munshi; Wei Chen; TeYu Chien; Ganesh Balasubramanian,2021,10.1016/j.commatsci.2020.110119,https://doi.org/10.1016/j.commatsci.2020.110119,crossref,Elsevier BV,Computational Materials Science,journal-article,True,2-dimensional polymer systems; bulk heterojunction; bulk heterojunction morphology; polymer films,False
88.72666666666667,core literature,Relaxation processes in a polymer composite for bulk heterojunction: A dielectric spectroscopy study,Mihai Asandulesa; Sergei Kostromin; Aleksandr Podshivalov; Alexey Tameev; Sergei Bronnikov,2020,10.1016/j.polymer.2020.122785,https://doi.org/10.1016/j.polymer.2020.122785,crossref,Elsevier BV,Polymer,journal-article,True,2-dimensional polymer systems; bulk heterojunction; bulk heterojunction morphology; polymer films,False
87.6,core literature,Control over the aggregated structure of donor–acceptor conjugated polymer films for high‐mobility organic field‐effect transistors,Xinxiu Cao; Yanchun Han,2024,10.1002/agt2.501,https://doi.org/10.1002/agt2.501,crossref,Wiley,Aggregate,journal-article,True,donor acceptor polymer blend morphology; polymer films,False
87.6,core literature,Morphology prediction for polymer blend thin films using machine learning,Bishnu R.; Rabibrata Mukherjee; Nandini Bhandaru; Arnab Dutta,2025,10.1039/d5sm00335k,https://doi.org/10.1039/d5sm00335k,crossref,Royal Society of Chemistry (RSC),Soft Matter,journal-article,True,donor acceptor polymer blend morphology; polymer films,False
87.6,core literature,Effects of Plasticizer and Microphase‐Separated Morphology on Bending Electromechanical Properties of Thermoplastic Polyurethane Elastomer/Plasticizer Blend Films,Han Lin; Youyuan Cui; Ying Dan Liu; Yongri Liang,2025,10.1002/app.57206,https://doi.org/10.1002/app.57206,crossref,Wiley,Journal of Applied Polymer Science,journal-article,True,donor acceptor polymer blend morphology; polymer films,False
87.6,core literature,Stress Engineering of Active Layer Films Coated on Water Surface for Efficient Large‐Area Organic Photovoltaic Modules,Qi Luo; Zedong Xiong; Kai Feng; Ruiyu Tian; Xinlu Liu; Xianming Zhou; Ruizhi Wei; Zhen Liu; Zixian Zhang; Huimin Liu; Jiangbin Le; Jianjun Zhang; Xin Lu; Yinhua Zhou,2026,10.1002/smll.73554,https://doi.org/10.1002/smll.73554,crossref,Wiley,Small,journal-article,True,organic photovoltaic active layer; polymer films,False
87.6,core literature,Enhancing photovoltaic performance of organic solar cells by embedding plasmonic Ag nanocuboid array in the active layer,Jinxin Zhou; Fuhao Gao; Haitao Xu; Yongbing Long,2024,10.1063/5.0227571,https://doi.org/10.1063/5.0227571,crossref,AIP Publishing,AIP Advances,journal-article,True,organic photovoltaic active layer; polymer films,False
87.6,core literature,Multilayer biopolymer‐based flexible packaging films via layer‐by‐layer assembly: a comprehensive review,Aditya Gupta; Kirtiraj K Gaikwad,2026,10.1002/pi.70114,https://doi.org/10.1002/pi.70114,crossref,Wiley,Polymer International,journal-article,True,organic photodiode active layer; polymer films,False
87.6,core literature,DNA: Novel Crystallization Regulator for Solid Polymer Electrolytes in High-Performance Lithium-Ion Batteries,Xiong Cheng; Joonho Bae,2024,10.3390/nano14201670,https://doi.org/10.3390/nano14201670,crossref,MDPI AG,Nanomaterials,journal-article,True,crystallization regulator organic semiconductor; polymer films,False
87.6,core literature,Effects of Aggregation Degree and Cross‐Linking Density on the Viscoelasticity of CNTs / CB ‐Filled Natural Rubber Composites: A Coarse‐Grained Molecular Dynamics Simulation,Jianzheng Cui; Dahai Wei; Fanlin Zeng,2026,10.1002/pc.70400,https://doi.org/10.1002/pc.70400,crossref,Wiley,Polymer Composites,journal-article,True,coarse-grained molecular simulation polymer film; polymer films,False
87.6,core literature,Enhancing Polymer Blend Compatibility with Linear and Complex Star Copolymer Architectures: A Monte Carlo Simulation Study with the Bond Fluctuation Model,Juan J. Freire; Costas Vlahos,2024,10.3390/polym16121626,https://doi.org/10.3390/polym16121626,crossref,MDPI AG,Polymers,journal-article,True,Monte Carlo simulation polymer blend; polymer films,False
87.6,core literature,Organic Electrochemical Transistors Based on Blend Films with Thermoresponsive Polymer,Shunsuke Yamamoto; Shuhei Kindaichi; Ryosuke Matsubara; Atsushi Kubono; Rajiv Giridharagopal; David S. Ginger; Masaya Mitsuishi,2025,10.1002/smll.202501927,https://doi.org/10.1002/smll.202501927,crossref,Wiley,Small,journal-article,True,molecular dynamics organic photovoltaic blend; polymer films,False
87.6,core literature,Study of Tunable Dielectric Permittivity of PBDB-T-2CL Polymer in Ternary Organic Blend Thin Films Using Spectroscopic Ellipsometry,Laura Hrostea; Georgiana-Andreea Bulai; Vasile Tiron; Liviu Leontie,2023,10.3390/polym15183771,https://doi.org/10.3390/polym15183771,crossref,MDPI AG,Polymers,journal-article,True,molecular dynamics organic photovoltaic blend; polymer films,False
87.6,core literature,Strain‐induced morphology evolution and charge transport in conjugated polymer films,Zicheng Ding; Kui Zhao; Yanchun Han,2025,10.1002/idm2.12223,https://doi.org/10.1002/idm2.12223,crossref,Wiley,Interdisciplinary Materials,journal-article,True,charge transport morphology relationship; polymer films,False
87.6,core literature,Characterization and charge transport properties of sodium ion conducting PEO : NaBr solid polymer electrolyte films,Shreedatta Hegde; Vasachar Ravindrachary; Ganesh Sanjeev; Ismayil,2023,10.1002/pen.26389,https://doi.org/10.1002/pen.26389,crossref,Wiley,Polymer Engineering &amp; Science,journal-article,True,charge transport morphology relationship; polymer films,False
87.6,core literature,Space Syntax and Urban Morphology in Historical Context: Mapping Green Space Systems in the Hungarian Part of Habsburg Central Europe,Éva Lovra; Elif Sarihan,2026,10.3390/land15040564,https://doi.org/10.3390/land15040564,crossref,MDPI AG,Land,journal-article,True,2-dimensional polymer systems; bulk heterojunction; bulk heterojunction morphology,False
85.56,core literature,In Situ Studies of Solvent Additive Effects on the Morphology Development during Printing of Bulk Heterojunction Films for Organic Solar Cells,Dan Yang; Sebastian Grott; Xinyu Jiang; Kerstin S. Wienhold; Matthias Schwartzkopf; Stephan V. Roth; Peter Müller‐Buschbaum,2020,10.1002/smtd.202000418,https://doi.org/10.1002/smtd.202000418,crossref,Wiley,Small Methods,journal-article,True,bulk heterojunction; bulk heterojunction morphology; polymer films,False
85.56,core literature,Device Modeling of Organic Photovoltaic Cells with Traditional and Inverted Cells Using s-SWCNT:C60 as Active Layer,Vijai M. Moorthy; Viranjay M. Srivastava,2022,10.3390/nano12162844,https://doi.org/10.3390/nano12162844,crossref,MDPI AG,Nanomaterials,journal-article,True,organic photovoltaic active layer; organic photovoltaic cells; polymer films,False
85.56,core literature,Comparing Donor- and Acceptor-Originated Exciton Dynamics in Non-Fullerene Acceptor Blend Polymeric Systems,Chan Im; Sang-Woong Kang; Jeong-Yoon Choi; Jongdeok An,2021,10.3390/polym13111770,https://doi.org/10.3390/polym13111770,crossref,MDPI AG,Polymers,journal-article,True,non-fullerene acceptor; non-fullerene acceptor polymer blend; polymer films,False
85.56,core literature,Mobility Relaxation of Holes and Electrons in Polymer:Fullerene and Polymer : Non‐Fullerene Acceptor Solar Cells,Fumiya Hamada; Akinori Saeki,2021,10.1002/cssc.202100566,https://doi.org/10.1002/cssc.202100566,crossref,Wiley,ChemSusChem,journal-article,True,non-fullerene acceptor; non-fullerene acceptor polymer blend; polymer films,False
85.56,core literature,Studies of photoexcitations in polymer/non-fullerene blend for high-efficiency organic solar cells,Dipak Raj Khanal; Evan Lafalce; Z. Valy Vardeny,2021,10.1063/5.0048981,https://doi.org/10.1063/5.0048981,crossref,AIP Publishing,Applied Physics Letters,journal-article,True,non-fullerene acceptor; non-fullerene acceptor polymer blend; polymer films,False
85.56,core literature,Wide bandgap polymer donors for high efficiency non-fullerene acceptor based organic solar cells,Keqiang He; Pankaj Kumar; Yi Yuan; Yuning Li,2021,10.1039/d0ma00790k,https://doi.org/10.1039/d0ma00790k,crossref,Royal Society of Chemistry (RSC),Materials Advances,journal-article,True,non-fullerene acceptor; non-fullerene acceptor polymer blend; polymer films,False
85.56,core literature,Characteristics of the Colorless Polyimide-Based Flexible X-ray Detector with Non-Fullerene Acceptor Polymer,Jehoon Lee; Jongkyu Won; Duhee Lee; Hailiang Liu; Jungwon Kang,2022,10.3390/nano12060918,https://doi.org/10.3390/nano12060918,crossref,MDPI AG,Nanomaterials,journal-article,True,non-fullerene acceptor; non-fullerene acceptor polymer blend; polymer films,False
85.56,core literature,"Thermo-Optical and Structural Studies of Iodine-Doped Polymer: Fullerene Blend Films, Used in Photovoltaic Structures",Bożena Jarząbek; Paweł Nitschke; Marcin Godzierz; Marcin Palewicz; Tomasz Piasecki; Teodor Paweł Gotszalk,2022,10.3390/polym14050858,https://doi.org/10.3390/polym14050858,crossref,MDPI AG,Polymers,journal-article,True,bulk heterojunction; molecular dynamics organic photovoltaic blend; polymer films,False
85.56,core literature,How side‐chain hydrophilicity modulates morphology and charge transport in mixed conducting polymers,Aditi Khot; Brett M. Savoie,2022,10.1002/pol.20210773,https://doi.org/10.1002/pol.20210773,crossref,Wiley,Journal of Polymer Science,journal-article,True,Monte Carlo simulations; charge transport morphology relationship; polymer films,False
85.19999999999999,core literature,Extending Graph-based Lattice Kinetic Monte Carlo Simulations to Polymer Transformations,Sophia Ezendu; Tibor Szilvasi,2026,10.26434/chemrxiv-2026-h28k3,https://doi.org/10.26434/chemrxiv-2026-h28k3,crossref,American Chemical Society (ACS),,posted-content,True,Monte Carlo simulation polymer blend; Monte Carlo simulations; polymer films,False
84.6,core literature,Low‐Power Piezoelectric Energy From Chiral Supramolecular Polymer of a Donor–Acceptor–Donor Conjugated π‐System,Swadesh Paul; Aritri Pal; Suhrit Ghosh; Anuja Datta,2025,10.1002/chem.202500540,https://doi.org/10.1002/chem.202500540,crossref,Wiley,Chemistry – A European Journal,journal-article,True,donor acceptor polymer blend morphology; polymer films,False
83.76666666666667,core literature,Polymer blend nanocomposites of fullerene for energy storage,Rama Kanwar Khangarot; Ayushi Bhatnagar; Gangotri Pemawat,2023,10.1016/b978-0-323-99549-8.00003-0,https://doi.org/10.1016/b978-0-323-99549-8.00003-0,crossref,Elsevier,Polymer Blend Nanocomposites for Energy Storage Applications,book-chapter,True,non-fullerene acceptor; non-fullerene acceptor polymer blend; polymer films,False
83.76666666666667,core literature,Molecular level resolution of the crucial differences in the morphologies of non-fullerene acceptor Y derivatives/donor polymer pm6 heterogeneous films,Ling Yang; Xiao-Min Zhang; Bin Tu; Zhi-Yong Yang,2024,10.1016/j.surfin.2024.105418,https://doi.org/10.1016/j.surfin.2024.105418,crossref,Elsevier BV,Surfaces and Interfaces,journal-article,True,non-fullerene acceptor; non-fullerene acceptor polymer blend; polymer films,False
83.76666666666667,core literature,Fullerene and polymer/fullerene nanomaterials in industry,Ayesha Kausar,2023,10.1016/b978-0-323-99515-3.00004-3,https://doi.org/10.1016/b978-0-323-99515-3.00004-3,crossref,Elsevier,Polymer/Fullerene Nanocomposites,book-chapter,True,non-fullerene acceptor; non-fullerene acceptor polymer blend; polymer films,False
83.76666666666667,core literature,Biaxially strain-induced polymer crystallization studied by dynamic Monte Carlo simulations,Wen Luo; Ruiqi Mi; Yiting Wei; Yaqian Guo; Jiping Wang; Wenbing Hu,2024,10.1016/j.polymer.2024.126983,https://doi.org/10.1016/j.polymer.2024.126983,crossref,Elsevier BV,Polymer,journal-article,True,Monte Carlo simulation polymer blend; Monte Carlo simulations; polymer films,False
83.76666666666667,core literature,Performance Study of Bulk Heterojunction Organic Synaptic Transistors Based on Polymer Blends,Yixin Zhang,2025,10.1109/acctcs66275.2025.00049,https://doi.org/10.1109/acctcs66275.2025.00049,crossref,IEEE,2025 5th Asia-Pacific Conference on Communications Technology and Computer Science (ACCTCS),proceedings-article,True,2-dimensional polymer systems; bulk heterojunction; bulk heterojunction morphology,False
82.6,core literature,"Semiconductor waste-derived LiGaO2: A multifunctional regulator for crystallization, ion transport, and stability in polymer electrolytes",Weiliang Gong; Jianming Tao; Yanhuang Cai; Junlin Wu; Zhicheng Zhang; Chenlong Chen; Zhigao Huang; Yingbin Lin,2025,10.1063/5.0281318,https://doi.org/10.1063/5.0281318,crossref,AIP Publishing,Applied Physics Reviews,journal-article,False,crystallization regulator organic semiconductor; polymer films,False
82.56,core literature,Effect of polymer donor aggregation on the active layer morphology of amorphous polymer acceptor-based all-polymer solar cells,Lu Zhang; Zicheng Ding; Ruyan Zhao; Feng Jirui; Wei Ma; Jun Liu; Lixiang Wang,2020,10.1039/c9tc06668c,https://doi.org/10.1039/c9tc06668c,crossref,Royal Society of Chemistry (RSC),Journal of Materials Chemistry C,journal-article,True,donor acceptor polymer blend morphology; polymer films,False
82.56,core literature,Donor-Acceptor Polymer Based on Planar Structure of Alkylidene-Fluorene Derivative: Correlation of Power Conversion Efficiency among Polymer and Various Acceptor Units,Eui Jin Lee; Ho Jun Song,2020,10.3390/polym12122859,https://doi.org/10.3390/polym12122859,crossref,MDPI AG,Polymers,journal-article,True,donor acceptor polymer blend morphology; polymer films,False
82.56,core literature,Bi‐layer gelatin active films with “Pitanga” leaf hydroethanolic extract and/or natamycin in the second layer,Carla G. Luciano; Larissa Tessaro; Rodrigo V. Lourenço; Ana Mônica Q. B. Bittante; Andrezza M. Fernandes; Paulo J. A. Sobral,2021,10.1002/app.51246,https://doi.org/10.1002/app.51246,crossref,Wiley,Journal of Applied Polymer Science,journal-article,True,organic photodiode active layer; polymer films,False
82.56,core literature,Balancing the Molecular Aggregation and Vertical Phase Separation in the Polymer: Nonfullerene Blend Films Enables 13.09% Efficiency of Organic Solar Cells with Inkjet‐Printed Active Layer,Xingze Chen; Rong Huang; Yunfei Han; Wusong Zha; Jin Fang; Jian Lin; Qun Luo; Zheng Chen; Chang‐Qi Ma,2022,10.1002/aenm.202200044,https://doi.org/10.1002/aenm.202200044,crossref,Wiley,Advanced Energy Materials,journal-article,True,organic photodiode active layer; polymer films,False
82.56,core literature,Measuring the Pores’ Structure in P3HT Organic Polymeric Semiconductor Films Using Interface Electrolyte/Organic Semiconductor Redox Injection Reactions and Bulk Space-Charge,Franz Schauer,2022,10.3390/polym14173456,https://doi.org/10.3390/polym14173456,crossref,MDPI AG,Polymers,journal-article,True,crystallization regulator organic semiconductor; polymer films,False
82.56,core literature,Coarse-grained molecular simulation of the effects of carbon nanotube dispersion on the mechanics of semicrystalline polymer nanocomposites,Chao Wu; Ruidong Wu; Lik-ho Tam,2021,10.1088/1361-6528/abf458,https://doi.org/10.1088/1361-6528/abf458,crossref,IOP Publishing,Nanotechnology,journal-article,True,coarse-grained molecular simulation polymer film; polymer films,False
82.56,core literature,Percolated Network of Mixed Nanoparticles with Different Sizes in Polymer Nanocomposites: A Coarse-Grained Molecular Dynamics Simulation,Xiuying Zhao; Yun Nie; Haoxiang Li; Haoyu Wu; Yangyang Gao; Liqun Zhang,2021,10.3390/ma14123301,https://doi.org/10.3390/ma14123301,crossref,MDPI AG,Materials,journal-article,True,coarse-grained molecular simulation polymer film; polymer films,False
82.56,core literature,Monte Carlo Simulation of Static and Dynamic Properties of Linear Polymer in a Crowded Environment,Deme Tesfaye Umeta; Solomon Negash Asfaw; Solomon Hailemariam Didu; Chimdessa Gashu Feyisa; Dereje Kenea Feyisa,2022,10.1155/2022/6707429,https://doi.org/10.1155/2022/6707429,crossref,Wiley,Advances in Polymer Technology,journal-article,True,Monte Carlo simulation polymer blend; polymer films,False
82.56,core literature,Influence of sericin‐g‐PLA as an organic nucleating agent for preparing biodegradable blend films,Kanittha Boonpavanitchakul; Wiyong Kangwansupamonkon; Nuttaporn Pimpha; Rathanawan Magaraphan,2022,10.1002/app.52389,https://doi.org/10.1002/app.52389,crossref,Wiley,Journal of Applied Polymer Science,journal-article,True,molecular dynamics organic photovoltaic blend; polymer films,False
82.56,core literature,Gas Transport Phenomena and Polymer Dynamics in PHB/PLA Blend Films as Potential Packaging Materials,Valentina Siracusa; Svetlana Karpova; Anatoliy Olkhov; Anna Zhulkina; Regina Kosenko; Alexey Iordanskii,2020,10.3390/polym12030647,https://doi.org/10.3390/polym12030647,crossref,MDPI AG,Polymers,journal-article,True,molecular dynamics organic photovoltaic blend; polymer films,False
82.56,core literature,Influence of Solvent-Dependent Morphology on Molecular Doping and Charge Transport in Conductive Thiophene Polymer,Haoyu Chai; Hui Li; Fei Zhong; Zhen Xu; Shengqiang Bai; Lidong Chen,2022,10.3390/ma15093293,https://doi.org/10.3390/ma15093293,crossref,MDPI AG,Materials,journal-article,True,charge transport morphology relationship; polymer films,False
82.56,core literature,Effects of Solvent Vapor Annealing on Morphology and Charge Transport of Poly(3-hexylthiophene) (P3HT) Films Incorporated with Preformed P3HT Nanowires,Mingu Jang; Yang-Il Huh; Mincheol Chang,2020,10.3390/polym12051188,https://doi.org/10.3390/polym12051188,crossref,MDPI AG,Polymers,journal-article,True,charge transport morphology relationship; polymer films,False
81.76666666666667,core literature,Optical and photovoltaic properties of organic solar cells versus bulk-heterojunction morphology,Nurzhan Asanov; Nora Schopp; Constantinos Valagiannopoulos; Viktor Brus,2024,10.1103/physrevb.109.205201,https://doi.org/10.1103/physrevb.109.205201,crossref,American Physical Society (APS),Physical Review B,journal-article,True,2-dimensional polymer systems; bulk heterojunction; bulk heterojunction morphology; polymer films,False
81.72666666666667,core literature,Enhancement of Short-Range Ordering of Low-Bandgap Donor–Acceptor Conjugated Polymer in Polymer/Polymer Blend Films,Anjar Taufik Hidayat; Hiroaki Benten; Noboru Ohta; Yunju Na; Azusa Muraoka; Hirotaka Kojima; Min-Cherl Jung; Masakazu Nakamura,2020,10.1021/acs.macromol.0c00623,https://doi.org/10.1021/acs.macromol.0c00623,crossref,American Chemical Society (ACS),Macromolecules,journal-article,True,donor acceptor polymer blend morphology; non-fullerene acceptor; non-fullerene acceptor polymer blend; polymer films,False
81.72666666666667,core literature,Fabrication and molecular dynamics studies of layer-by-layer polyelectrolytic films,Neelaambhigai Mayilswamy; Nimisha Boney; Balasubramanian Kandasubramanian,2022,10.1016/j.eurpolymj.2021.110945,https://doi.org/10.1016/j.eurpolymj.2021.110945,crossref,Elsevier BV,European Polymer Journal,journal-article,True,molecular dynamics organic photovoltaic blend; organic photodiode active layer; organic photovoltaic active layer; polymer films,False
80.76666666666667,core literature,Ex-situ transferring of polydopamine films on semiconductor interface: Evidence of functional hybrid heterojunction,Jakub Szewczyk; Marcin Ziółek; Katarzyna Siuzdak; Igor Iatsunskyi; Mikołaj Pochylski; Daniel Aguilar-Ferrer; Mateusz Kempiński; Fida Tanos; Jacek Gapiński; Mikhael Bechelany; Emerson Coy,2024,10.1016/j.eurpolymj.2024.112781,https://doi.org/10.1016/j.eurpolymj.2024.112781,crossref,Elsevier BV,European Polymer Journal,journal-article,True,bulk heterojunction; bulk heterojunction morphology; polymer films,False
80.76666666666667,core literature,"Novel donor-acceptor-donor type electrochromic polymers based on 1,3-indandione modified triphenylamine derivatives as new acceptor units",Pengjie Chao; Yuqing Liao; Daize Mo; Lanqing Li,2024,10.1016/j.polymer.2024.127633,https://doi.org/10.1016/j.polymer.2024.127633,crossref,Elsevier BV,Polymer,journal-article,True,donor acceptor polymer blend morphology; polymer films,False
80.76666666666667,core literature,"Electrochromic conjugated porous polymers based on N,N,N′,N′-tetraphenyl-1,4-phenylenediamine with donor-donor and donor-acceptor structures",Xiangfeng Bo; Xiujuan Zhong; Shouli Ming; Yan Zhang; Jinsheng Zhao,2025,10.1016/j.eurpolymj.2025.113894,https://doi.org/10.1016/j.eurpolymj.2025.113894,crossref,Elsevier BV,European Polymer Journal,journal-article,True,donor acceptor polymer blend morphology; polymer films,False
80.76666666666667,core literature,Control of Donor–Acceptor Conjugated Polymer Crystallization for Optimized Film Structures in Organic Transistors,Xinxiu Cao; Yanchun Han,2025,10.1021/polymscitech.5c00011,https://doi.org/10.1021/polymscitech.5c00011,crossref,American Chemical Society (ACS),Polymer Science &amp; Technology,journal-article,True,donor acceptor polymer blend morphology; polymer films,False
80.76666666666667,core literature,Equal proportion of donor/acceptor active layer for reduced dark current in visible organic photodiode,Suraya Annissa Roslan; Amirul Ashraf Md Sabri; Nur Adilah Roslan; Tahani M. Bawazeer; Mohammad S. Alsoufi; Fakhra Aziz; Azzuliani Supangat,2024,10.1016/j.optmat.2023.114781,https://doi.org/10.1016/j.optmat.2023.114781,crossref,Elsevier BV,Optical Materials,journal-article,True,organic photodiode active layer; polymer films,False
