relevance_score,quality_flag,title,authors,publication_year,doi,url,source_name,publisher,venue,document_type,open_access,matched_keywords,manual_review_required
74.6,useful literature,Thermoplastic self‐healing polymer blends for structural composites: Development of polyamide 6 and cyclic olefinic copolymer blends,D. Perin; A. Dorigato; A. Pegoretti,2023,10.1002/app.53751,https://doi.org/10.1002/app.53751,crossref,Wiley,Journal of Applied Polymer Science,journal-article,True,2-dimensional polymer blends,False
74.6,useful literature,Polymer Dynamics in Glycerol–Water Mixtures,Janez Stepišnik,2023,10.3390/molecules28145506,https://doi.org/10.3390/molecules28145506,crossref,MDPI AG,Molecules,journal-article,True,2-dimensional polymer mixtures,False
74.6,useful literature,"Liquid‐Metals‐Based Polymer Mixtures, Composites, and Hybrids Perform Differently on Wearable Electronics",Xinyu Zeng; Yanfen Wan; Peng Yang,2026,10.1002/pol.20250907,https://doi.org/10.1002/pol.20250907,crossref,Wiley,Journal of Polymer Science,journal-article,True,2-dimensional polymer mixtures,False
74.6,useful literature,Effect of Polymer Concentration on the Rheology and Surface Activity of Cationic Polymer and Anionic Surfactant Mixtures,Chung-Chi Sun; Rajinder Pal,2025,10.3390/fluids10100253,https://doi.org/10.3390/fluids10100253,crossref,MDPI AG,Fluids,journal-article,True,2-dimensional polymer mixtures,False
74.6,useful literature,Synergistic effect of polymer‐modified rejuvenator and fresh asphalt on road performance of hot in‐place recycling styrene–butadiene–styrene‐modified asphalt mixtures,Xu Xia; Dong Tang; Pengfei Wang; Yongli Zhao,2024,10.1002/pi.6710,https://doi.org/10.1002/pi.6710,crossref,Wiley,Polymer International,journal-article,True,2-dimensional polymer mixtures,False
74.6,useful literature,Steady Shear Rheology and Surface Activity of Polymer-Surfactant Mixtures,Qiran Lu; Rajinder Pal,2025,10.3390/polym17030364,https://doi.org/10.3390/polym17030364,crossref,MDPI AG,Polymers,journal-article,True,2-dimensional polymer mixtures,False
74.6,useful literature,Bayesian clustering of high-dimensional data via latent repulsive mixtures,L Ghilotti; M Beraha; A Guglielmi,2025,10.1093/biomet/asae059,https://doi.org/10.1093/biomet/asae059,crossref,Oxford University Press (OUP),Biometrika,journal-article,True,2-dimensional polymer mixtures,False
74.6,useful literature,Confinement-Induced Fractionation and Liquid–Liquid Phase Separation of Polymer Mixtures,Arash Nikoubashman; Miho Yanagisawa,2023,10.3390/polym15030511,https://doi.org/10.3390/polym15030511,crossref,MDPI AG,Polymers,journal-article,True,2-dimensional polymer mixtures,False
74.6,useful literature,Effects of Polymer Topology and Crowder Size on Polymer Adsorption at Solid Interfaces,Akshay Chauhan; Srabanti Chaudhury,2026,10.1002/cphc.202500790,https://doi.org/10.1002/cphc.202500790,crossref,Wiley,ChemPhysChem,journal-article,True,polymer adsorption,False
74.6,useful literature,A molecularly imprinted polymer for the efficient adsorption of morphine,Chenfeng Ku; Youhong Zhang; Guohong Zhou; Kean Wang,2024,10.1002/app.54893,https://doi.org/10.1002/app.54893,crossref,Wiley,Journal of Applied Polymer Science,journal-article,True,polymer adsorption,False
74.6,useful literature,Sustainable Polylactic Acid–Enhanced Biowaste Composite for Tetracycline Adsorption,İdris Karagöz; Nergiz Kanmaz; Pelin Demircivi,2026,10.1002/pc.70365,https://doi.org/10.1002/pc.70365,crossref,Wiley,Polymer Composites,journal-article,True,polymer adsorption,False
74.6,useful literature,Effect of carbon black on chitosan‐poly(methacrylic acid) semi‐interpenetrating network hydrogels in swelling and dye adsorption,Prakasam Sreedev; Avvadakkam Mohanan,2025,10.1002/pi.70044,https://doi.org/10.1002/pi.70044,crossref,Wiley,Polymer International,journal-article,True,polymer adsorption,False
74.6,useful literature,Molecular mobility and morphology change of poly(vinyl alcohol) ( PVA ) film as induced by plasticizer glycerol,Weihang Fei; Zishuo Wu; Hong Cheng; Yuqi Xiong; Wei Chen; Lingpu Meng,2023,10.1002/pol.20230107,https://doi.org/10.1002/pol.20230107,crossref,Wiley,Journal of Polymer Science,journal-article,True,polymer film morphology,False
73.42666666666666,useful literature,Relation between Morphology and Chiroptical Properties in Chiral Conducting Polymer Films: A Case Study in Chiral PEDOT,Dana Amsallem; Anjan Bedi; Francesco Tassinari; Ori Gidron,2020,10.1021/acs.macromol.0c01731,https://openalex.org/W3094403923,openalex,,Macromolecules,article,True,polymer film morphology; polymer films,False
72.76666666666667,useful literature,Polymer 4D Printing — Future Perspective,Abhijit Bandyopadhyay; Rahul Chatterjee,2023,10.1201/9781003349341-9,https://doi.org/10.1201/9781003349341-9,crossref,CRC Press,Polymer Processing,book-chapter,False,2-dimensional polymer mixtures; 2-dimensional polymer systems,False
72.72666666666667,useful literature,Coaxial μSAXS/POM simultaneous measurement for microstructural characterization of one-dimensional and two-dimensional crystalline polymer,Yunyi Fan; Guangfeng Liu; Xiaran Miao; Fenggang Bian,2022,10.1016/j.polymertesting.2021.107461,https://doi.org/10.1016/j.polymertesting.2021.107461,crossref,Elsevier BV,Polymer Testing,journal-article,True,2-dimensional polymer mixtures; 2-dimensional polymer systems,False
72.72666666666667,useful literature,Dimensional considerations on the mechanical properties of 3D printed polymer parts,Nabila Elmrabet; Petros Siegkas,2020,10.1016/j.polymertesting.2020.106656,https://doi.org/10.1016/j.polymertesting.2020.106656,crossref,Elsevier BV,Polymer Testing,journal-article,True,2-dimensional polymer mixtures; 2-dimensional polymer systems,False
72.72666666666667,useful literature,Two-dimensional crystallization of cyclopolymers,Chaofan Zhou; Jinghang Wang; Hewen Liu,2022,10.1016/j.polymer.2022.125051,https://doi.org/10.1016/j.polymer.2022.125051,crossref,Elsevier BV,Polymer,journal-article,True,2-dimensional polymer mixtures; 2-dimensional polymer systems,False
72.72666666666667,useful literature,Polymer nanocomposites based on two-dimensional nanomaterials,Rajarshi Bayan; Niranjan Karak,2020,10.1016/b978-0-12-817650-4.00008-5,https://doi.org/10.1016/b978-0-12-817650-4.00008-5,crossref,Elsevier,Two-Dimensional Nanostructures for Biomedical Technology,book-chapter,True,2-dimensional polymer mixtures; 2-dimensional polymer systems,False
72.72666666666667,useful literature,Device fabrication on curvilinear two-dimensional surfaces using polymer probes,Nathalie Becerra-Mora; Pradeep Ramiah Rajasekaran; Kay-Obbe Voss; Vijaya Kumar Kollipara; Punit Kohli,2021,10.1016/j.polymer.2021.123521,https://doi.org/10.1016/j.polymer.2021.123521,crossref,Elsevier BV,Polymer,journal-article,True,2-dimensional polymer mixtures; 2-dimensional polymer systems,False
71.26666666666667,useful literature,Fabrication of stimuli-responsive self-folding bilayer polymer films,Dimuthu S. Edirisinghe; Astrid Garcia; Bogdan Oliy; George Chumanov,2025,10.1016/j.eurpolymj.2024.113634,https://doi.org/10.1016/j.eurpolymj.2024.113634,crossref,Elsevier BV,European Polymer Journal,journal-article,True,polymer films,False
71.26666666666667,useful literature,Thermogelling Formulations based on In-House synthesized ethylene Glycol-Containing ABC triblock copolymers and their mixtures with diblocks,Lezhi Wang; Theoni K. Georgiou,2025,10.1016/j.eurpolymj.2025.113816,https://doi.org/10.1016/j.eurpolymj.2025.113816,crossref,Elsevier BV,European Polymer Journal,journal-article,True,2-dimensional polymer mixtures,False
71.26666666666667,useful literature,Immiscibility-driven folding: A new design strategy to control polymer chain conformation and morphology,Vidyalakshmi Damodara; Harshita Sardana; S. Ramakrishnan,2024,10.1016/j.eurpolymj.2024.112818,https://doi.org/10.1016/j.eurpolymj.2024.112818,crossref,Elsevier BV,European Polymer Journal,journal-article,True,polymer film morphology,False
69.6,useful literature,Coconut Shell Derived Carbon Reinforced Polymer Composite Films for Packaging Applications,Gautam Chandrasekhar; Vijaya Rangari,2023,10.2174/9789815196689123010011,https://doi.org/10.2174/9789815196689123010011,crossref,BENTHAM SCIENCE PUBLISHERS,Biocarbon Polymer Composites,book-chapter,False,polymer films,False
69.56,useful literature,Quantifying alignment in carbon nanotube yarns and similar two‐dimensional anisotropic systems,Adarsh Kaniyoor; Thurid S. Gspann; Jenifer E. Mizen; James A. Elliott,2021,10.1002/app.50939,https://doi.org/10.1002/app.50939,crossref,Wiley,Journal of Applied Polymer Science,journal-article,True,2-dimensional polymer systems,False
69.56,useful literature,Polymer-loaded three dimensional microwave cavities for hybrid quantum systems,Myles Ruether; Clinton A Potts; John P Davis; Lindsay J LeBlanc,2021,10.1088/2399-6528/ac3cff,https://doi.org/10.1088/2399-6528/ac3cff,crossref,IOP Publishing,Journal of Physics Communications,journal-article,True,2-dimensional polymer systems,False
69.56,useful literature,Determination of three‐dimensional solubility parameters of HNBR/EPDM blends and the transport behaviors in ester solvents,Xingwang Jiang; Xiaojing Yuan; Xiaohui Guo; Fanqi Zeng; Guangyong Liu,2022,10.1002/app.52881,https://doi.org/10.1002/app.52881,crossref,Wiley,Journal of Applied Polymer Science,journal-article,True,2-dimensional polymer blends,False
69.56,useful literature,Theory of polymer diffusion in polymer–nanoparticle mixtures: effect of nanoparticle concentration and polymer length,Bokai Zhang; Jian Li; Juanmei Hu; Lei Liu,2021,10.1039/d1sm00226k,https://doi.org/10.1039/d1sm00226k,crossref,Royal Society of Chemistry (RSC),Soft Matter,journal-article,True,2-dimensional polymer mixtures,False
69.56,useful literature,Hydrogen bonding mediated self‐assembled structures from block copolymer mixtures to mesoporous materials,Shiao‐Wei Kuo,2022,10.1002/pi.6264,https://doi.org/10.1002/pi.6264,crossref,Wiley,Polymer International,journal-article,True,2-dimensional polymer mixtures,False
69.56,useful literature,Nanorheology of active–passive polymer mixtures differentiates between linear and ring polymer topology,Andrea Papale; Jan Smrek; Angelo Rosa,2021,10.1039/d1sm00665g,https://doi.org/10.1039/d1sm00665g,crossref,Royal Society of Chemistry (RSC),Soft Matter,journal-article,True,2-dimensional polymer mixtures,False
69.56,useful literature,Low dielectric constant polyimide mixtures fabricated by polyimide matrix and polyimide microsphere fillers,Guorong Qiu; Wenshi Ma; Li Wu,2020,10.1002/pi.5979,https://doi.org/10.1002/pi.5979,crossref,Wiley,Polymer International,journal-article,True,2-dimensional polymer mixtures,False
69.56,useful literature,"Processing method, properties and application of functionally graded polymer materials based on the mixtures of poorly compatible epoxy resins",LM Amirova; KA Andrianova; LR Amirova,2021,10.1177/09673911211014763,https://doi.org/10.1177/09673911211014763,crossref,SAGE Publications,Polymers and Polymer Composites,journal-article,True,2-dimensional polymer mixtures,False
69.56,useful literature,Direct Quantitation of Phytocannabinoids by One-Dimensional 1H qNMR and Two-Dimensional 1H-1H COSY qNMR in Complex Natural Mixtures,Evangelos Dadiotis; Vangelis Mitsis; Eleni Melliou; Prokopios Magiatis,2022,10.3390/molecules27092965,https://doi.org/10.3390/molecules27092965,crossref,MDPI AG,Molecules,journal-article,True,2-dimensional polymer mixtures,False
69.56,useful literature,Gelation Impairs Phase Separation and Small Molecule Migration in Polymer Mixtures,Biswaroop Mukherjee; Buddhapriya Chakrabarti,2020,10.3390/polym12071576,https://doi.org/10.3390/polym12071576,crossref,MDPI AG,Polymers,journal-article,True,2-dimensional polymer mixtures,False
69.56,useful literature,"Hydrogel‐biochar composites for removal of methylene blue: Adsorption performance, characterization, and adsorption isotherm, kinetics, thermodynamics analysis",Xiangpeng Wang; Yunxiang Zheng; Lina Zong; Chunxiao Zhang,2022,10.1002/app.53219,https://doi.org/10.1002/app.53219,crossref,Wiley,Journal of Applied Polymer Science,journal-article,True,polymer adsorption,False
69.56,useful literature,Emulsion templated polymer monoliths containing cellulose nanocrystals: Synthesis and adsorption properties,Ali Eslek; Burcu Kekevi; Hatice Hande Mert; Emine Hilal Mert,2022,10.1002/app.51802,https://doi.org/10.1002/app.51802,crossref,Wiley,Journal of Applied Polymer Science,journal-article,True,polymer adsorption,False
69.56,useful literature,Strategies to incorporate a fluorinated acrylate monomer into polymer particles: from particle morphology to film morphology and anticorrosion properties,S. Chimenti; J. M. Vega; M. Paulis; J. R. Leiza,2022,10.1007/s00396-022-04943-9,https://doi.org/10.1007/s00396-022-04943-9,crossref,Springer Science and Business Media LLC,Colloid and Polymer Science,journal-article,True,polymer film morphology,False
69.56,useful literature,Poly(butyl acrylate) polymer enhanced phase segregation and morphology of organic semiconductor for solution‐processed thin film transistors,Yeqing Sun; Ziyang Zhang; Kyeiwaa Asare‐Yeboah; Sheng Bi; Zhengran He,2021,10.1002/app.50654,https://doi.org/10.1002/app.50654,crossref,Wiley,Journal of Applied Polymer Science,journal-article,True,polymer film morphology,False
69.56,useful literature,Manipulating Film Morphology of All‐Polymer Solar Cells by Incorporating Polymer Compatibilizer,Wenkai Zhong; Qin Hu; Lei Ying; Yufeng Jiang; Kang Li; Zhaomiyi Zeng; Feng Liu; Cheng Wang; Thomas P. Russell; Fei Huang; Yong Cao,2020,10.1002/solr.202000148,https://doi.org/10.1002/solr.202000148,crossref,Wiley,Solar RRL,journal-article,True,polymer film morphology,False
69.56,useful literature,Cyclic topology effects on the morphology of biocompatible and environment-friendly poly(ε-caprolactone) under nanoscale film confinement,Li Xiang; Wonyeong Ryu; Jehan Kim; Moonhor Ree,2020,10.1039/d0py00665c,https://doi.org/10.1039/d0py00665c,crossref,Royal Society of Chemistry (RSC),Polymer Chemistry,journal-article,True,polymer film morphology,False
69.56,useful literature,Well-defined polyvinylpyridine- block -polystyrene diblock copolymers via RAFT aqueous-alcoholic dispersion polymerization: synthesis and isoporous thin film morphology,Katharina Nieswandt; Prokopios Georgopanos; Volker Abetz,2021,10.1039/d1py00074h,https://doi.org/10.1039/d1py00074h,crossref,Royal Society of Chemistry (RSC),Polymer Chemistry,journal-article,True,polymer film morphology,False
68.46666666666667,useful literature,Plugging the Leak of Nanoparticles by Interfacial Polymer Adsorption Enables an Efficient Protein and Peptide Encapsulation,Qingqing Huo; Yue Gao; Wenbo Wu; S. P. Hu; Enpeng Dong; Yiyang Zhang; Yuling Tian; Yang Huang; Peng Quan; Dongfei Liu,2023,10.1002/adfm.202310146,https://openalex.org/W4387877572,openalex,,Advanced Functional Materials,article,True,polymer adsorption,False
68.46666666666667,useful literature,Interfacial Engineering of Soft Matter Substrates by Solid-State Polymer Adsorption,Wenyang Xu; Oliver Werzer; Panagiotis Spiliopoulos; Karl Mihhels; Qixiang Jiang; Zhuojun Meng; Han Tao; Roland Resel; Tekla Tammelin; Torbjörn Pettersson; Eero Kontturi,2024,10.1021/acsami.4c06182,https://openalex.org/W4399585128,openalex,,ACS Applied Materials & Interfaces,article,True,polymer adsorption,False
68.46666666666667,useful literature,Enhanced Optical Contrast and Switching in Near‐Infrared Electrochromic Devices by Optimizing Conjugated Polymer Oligo(Ethylene Glycol) Sidechain Content and Gel Electrolyte Composition,Robert M. Pankow; Brendan P. Kerwin; Yongjoon Cho; Seonghun Jeong; Giacomo Forti; Bryan Musolino; Changduk Yang; Antonio Facchetti; Tobin J. Marks,2023,10.1002/adfm.202309428,https://openalex.org/W4387308452,openalex,,Advanced Functional Materials,article,True,polymer film morphology,False
68.46666666666667,useful literature,"Scalable, Versatile Synthesis of Ultrathin Polyetherimide Films and Coatings via Interfacial Polymerization",Cécile A. C. Chazot; Carl J. Thrasher; Alexander Peraire‐Bueno; Michael N. Durso; Robert J. Macfarlane; A. John Hart,2023,10.1002/adfm.202214566,https://openalex.org/W4323364198,openalex,,Advanced Functional Materials,article,True,polymer film morphology,False
68.46666666666667,useful literature,Selenium Substitution in Bithiophene Imide Polymer Semiconductors Enables High‐Performance n ‐Type Organic Thermoelectric,Jianfeng Li; Min Liu; Kun Yang; Yimei Wang; Junwei Wang; Zhicai Chen; Kui Feng; Dong Wang; Jianqi Zhang; Yongchun Li; Han Guo; Zhixiang Wei; Xugang Guo,2023,10.1002/adfm.202213911,https://openalex.org/W4327590744,openalex,,Advanced Functional Materials,article,True,polymer film morphology,False
68.46666666666667,useful literature,Generating Long-Lived Triplet Excited States in Narrow Bandgap Conjugated Polymers,José Manuel Marín‐Beloqui; Daniel G. Congrave; Daniel T. W. Toolan; Stephanie Montanaro; Junjun Guo; Iain A. Wright; Tracey M. Clarke; Hugo Bronstein; Stoichko Dimitrov,2023,10.1021/jacs.2c12008,https://openalex.org/W4319052761,openalex,,Journal of the American Chemical Society,article,True,polymer film morphology,False
68.46666666666667,useful literature,Photoexcited Polaron Relaxation as a Structurally Sensitive Reporter of Charge Trapping in a Conducting Polymer,Abdul Rashid Umar; Austin L. Dorris; Christopher Grieco,2024,10.1002/adfm.202407181,https://openalex.org/W4399498631,openalex,,Advanced Functional Materials,article,True,polymer film morphology,False
68.46666666666667,useful literature,Preparation of Novel Organic Polymer Semiconductor and Its Properties in Transistors through Collaborative Theoretical and Experimental Approaches,Jinyang Chen; Yubing Ding; Jie Zhou; Na Li; Shiwei Ren; Minfeng Zeng,2023,10.3390/polym15224421,https://openalex.org/W4388731976,openalex,,Polymers,article,True,polymer film morphology,False
68.46666666666667,useful literature,Processing of a P(NDI2OD-T2) film without an intermediate wetting layer during spin-coating to improve charge carrier mobility,Sichun Wang; Junhang Li; Xinyu Liu; Qiang Zhang; Xinhong Yu; Yanchun Han,2024,10.1039/d4py00772g,https://openalex.org/W4402763943,openalex,,Polymer Chemistry,article,True,polymer film morphology,False
68.46666666666667,useful literature,Ultrafast Transient Absorption Studies of the Dynamics of Free and Coulombically Trapped Polarons in Doped Conjugated Polymers,Eric C. Wu; Diego Garcia Vidales; Charlene Z. Salamat; Quynh Duong; Alex León Ruiz; Austin D. Ready; Zerina Mehmedović; Dane A. Stanfield; Alexander M. Spokoyny; Sarah H. Tolbert; Benjamin J. Schwartz,2025,10.1002/adfm.202507480,https://openalex.org/W4412372699,openalex,,Advanced Functional Materials,article,True,polymer film morphology,False
68.46666666666667,useful literature,Enhanced Solubility and Electron Transfer of Osmium-Based Mediators via Quaternized Poly(4-Vinylpyridine) for Electrochemical Glucose Detection,Yun Yeong Cho; Taewon Seo; Young‐Bong Choi; Won‐Yong Jeon,2025,10.3390/polym17212874,https://openalex.org/W4415625795,openalex,,Polymers,article,True,polymer film morphology,False
68.46666666666667,useful literature,Chloroform outperforms chlorobenzene for enhanced mobility in amphiphilic polymer OFETs,Preeti Yadav; Shunsuke Yamamoto; Kodai Yamanaka; Hengyuan Wang; Nadège Bonnet; Yabing Qi; Itaru Osaka; Christine K. Luscombe,2026,10.1039/d5lp00320b,https://openalex.org/W7125220542,openalex,,RSC Applied Polymers,article,True,polymer film morphology,False
67.88,useful literature,"Synthesis, Characterizations, and Thermochromic Properties of VO2 Particles Grafted with PSS : PEDOT",Onruthai Srirodpai; Jatuphorn Wootthikanokkhan; Saiwan Nawalertpanya,2022,10.1155/2022/1866280,http://dx.doi.org/10.1155/2022/1866280,doaj,,Advances in Polymer Technology,journal-article,True,polymer films,False
67.88,useful literature,The time-dependency of the healing behavior of laser-scratched polymer films,Marcus Abend; Stefan Zechel; Lukas Tianis; Clemens Kunz; Marcel Enke; Jan Dahlke; Stephan Gräf; Frank A. Müller; Ulrich S. Schubert; Martin D. Hager,2021,10.1016/j.polymertesting.2021.107264,http://www.sciencedirect.com/science/article/pii/S0142941821002130,doaj,,Polymer Testing,journal-article,True,polymer films,False
67.88,useful literature,Investigation on degradation mechanism of polymer blockages in unconsolidated sandstone reservoirs,Dong Wenting; Zhang Dong; Wang Keliang; Qiu Yue,2020,10.1515/epoly-2020-0006,http://www.degruyter.com/view/j/epoly.2020.20.issue-1/epoly-2020-0006/epoly-2020-0006.xml?format=INT,doaj,,e-Polymers,journal-article,True,polymer adsorption,False
67.76666666666667,useful literature,Polymer nanocomposite films and coatings,Behnaz Ranjbar; Sahar Foroughirad; Zahra Ranjbar,2024,10.1016/b978-0-443-19139-8.00001-2,https://doi.org/10.1016/b978-0-443-19139-8.00001-2,crossref,Elsevier,Polymer Nanocomposite Films and Coatings,book-chapter,True,polymer films,False
67.76666666666667,useful literature,Polymer nanocomposite films and coatings in nuclear industry,Sujay Kore; Swapnil Dharaskar,2024,10.1016/b978-0-443-19139-8.00015-2,https://doi.org/10.1016/b978-0-443-19139-8.00015-2,crossref,Elsevier,Polymer Nanocomposite Films and Coatings,book-chapter,True,polymer films,False
67.76666666666667,useful literature,Flame-retardant polymer nanocomposite films and coatings,B.M. Samrudhi; Deepak Devadiga; T.N. Ahipa,2024,10.1016/b978-0-443-19139-8.00004-8,https://doi.org/10.1016/b978-0-443-19139-8.00004-8,crossref,Elsevier,Polymer Nanocomposite Films and Coatings,book-chapter,True,polymer films,False
67.76666666666667,useful literature,Self-healing polymer nanocomposite films and coatings,Md Enamul Hoque; Md Ushama Shafoyat,2024,10.1016/b978-0-443-19139-8.00010-3,https://doi.org/10.1016/b978-0-443-19139-8.00010-3,crossref,Elsevier,Polymer Nanocomposite Films and Coatings,book-chapter,True,polymer films,False
67.76666666666667,useful literature,Polymer Mulch Films,Nomvuyo Nomadolo,2026,10.1016/b978-0-323-95486-0.00194-0,https://doi.org/10.1016/b978-0-323-95486-0.00194-0,crossref,Elsevier,Comprehensive Polymer Science,book-chapter,True,polymer films,False
67.76666666666667,useful literature,Polymer nanocomposite films and coatings for screening electromagnetic interference pollution,Yasamin Roohani; Hossein Yahyaei,2024,10.1016/b978-0-443-19139-8.00002-4,https://doi.org/10.1016/b978-0-443-19139-8.00002-4,crossref,Elsevier,Polymer Nanocomposite Films and Coatings,book-chapter,True,polymer films,False
67.76666666666667,useful literature,Polymer nanocomposite films and coatings for food packaging applications,Amir Rezvani-Moghaddam; Zahra Ranjbar,2024,10.1016/b978-0-443-19139-8.00026-7,https://doi.org/10.1016/b978-0-443-19139-8.00026-7,crossref,Elsevier,Polymer Nanocomposite Films and Coatings,book-chapter,True,polymer films,False
67.76666666666667,useful literature,"Tribological, rheological, and mechanical properties of polymer nanocomposite films and coatings",Sudesna Roy; Hemalata Jena,2024,10.1016/b978-0-443-19139-8.00003-6,https://doi.org/10.1016/b978-0-443-19139-8.00003-6,crossref,Elsevier,Polymer Nanocomposite Films and Coatings,book-chapter,True,polymer films,False
67.76666666666667,useful literature,Polymer nanocomposite films and coatings for antifouling applications,Saeed Seraj; Toraj Mohammadi; Maryam Ahmadzadeh Tofighy,2024,10.1016/b978-0-443-19139-8.00009-7,https://doi.org/10.1016/b978-0-443-19139-8.00009-7,crossref,Elsevier,Polymer Nanocomposite Films and Coatings,book-chapter,True,polymer films,False
67.76666666666667,useful literature,Polymer nanocomposite films and coatings in aerospace applications,Zahra Ranjbar; Matin Roshanzamir Modaberi; Shabnam Ashhari,2024,10.1016/b978-0-443-19139-8.00023-1,https://doi.org/10.1016/b978-0-443-19139-8.00023-1,crossref,Elsevier,Polymer Nanocomposite Films and Coatings,book-chapter,True,polymer films,False
67.76666666666667,useful literature,Polymer nanocomposite films and coating for drug delivery applications,Romina HMTShirazi; Toraj Mohammadi; Maryam Ahmadzadeh Tofighy,2024,10.1016/b978-0-443-19139-8.00019-x,https://doi.org/10.1016/b978-0-443-19139-8.00019-x,crossref,Elsevier,Polymer Nanocomposite Films and Coatings,book-chapter,True,polymer films,False
67.76666666666667,useful literature,Polymer nanocomposite films and coatings for solar energy applications,Pritam Das; Mulatu Chake Gilago; Chandramohan V.P.,2024,10.1016/b978-0-443-19139-8.00025-5,https://doi.org/10.1016/b978-0-443-19139-8.00025-5,crossref,Elsevier,Polymer Nanocomposite Films and Coatings,book-chapter,True,polymer films,False
67.76666666666667,useful literature,Polymer nanocomposite films and coatings for dielectric applications,Sunil Kumar Baburao Mane; Naghma Shaishta; G. Manjunatha,2024,10.1016/b978-0-443-19139-8.00022-x,https://doi.org/10.1016/b978-0-443-19139-8.00022-x,crossref,Elsevier,Polymer Nanocomposite Films and Coatings,book-chapter,True,polymer films,False
67.76666666666667,useful literature,Spectroscopic and microscopic analysis of polymer nanocomposite films and coatings,Sanjay Krishna; I. Sreedhar; Chetan M. Patel,2024,10.1016/b978-0-443-19139-8.00024-3,https://doi.org/10.1016/b978-0-443-19139-8.00024-3,crossref,Elsevier,Polymer Nanocomposite Films and Coatings,book-chapter,True,polymer films,False
